episode,timestep,reward
195000,9750000,-212.5605
195200,9760000,-212.5626
195400,9770000,-212.5686
195600,9780000,-212.5747
195800,9790000,-212.5729
196000,9800000,-212.5746
196200,9810000,-212.5739
196400,9820000,-212.574
196600,9830000,-212.5778
196800,9840000,-212.5812
197000,9850000,-212.5851
197200,9860000,-212.5868
197400,9870000,-212.5924
197600,9880000,-212.5954
197800,9890000,-212.597
198000,9900000,-212.5957
198200,9910000,-212.603
198400,9920000,-212.6056
198600,9930000,-212.6078
198800,9940000,-212.6051
199000,9950000,-212.604
199200,9960000,-212.6067
199400,9970000,-212.6051
199600,9980000,-212.6058
199800,9990000,-212.6086
200000,10000000,-212.6131
