episode,timestep,reward
1843,92200,-249.9998
1845,92300,-249.9887
1847,92400,-250.0
1849,92500,-249.9958
1851,92600,-248.3239
1853,92700,-249.9694
1855,92800,-249.9999
1857,92900,-250.0
1859,93000,-249.9693
1861,93100,-249.7734
1863,93200,-249.9998
1865,93300,-248.3248
1867,93400,-249.9678
1869,93500,-249.9999
1871,93600,-249.9126
1873,93700,-248.321
1875,93800,-248.3112
1877,93900,-249.7693
1879,94000,-249.9997
1881,94100,-249.7692
1883,94200,-249.9998
1885,94300,-250.0
1887,94400,-249.9989
1889,94500,-248.3238
1891,94600,-250.0
1893,94700,-248.323
1895,94800,-249.9999
1897,94900,-249.9958
1899,95000,-249.9688
1901,95100,-248.7666
1903,95200,-249.9979
1905,95300,-249.7733
1907,95400,-249.9998
1909,95500,-248.3233
1911,95600,-246.8436
1913,95700,-249.9998
1915,95800,-249.9957
1917,95900,-250.0
1919,96000,-249.9887
1921,96100,-249.7731
1923,96200,-249.9693
1925,96300,-248.3224
1927,96400,-249.9959
1929,96500,-248.3079
1931,96600,-249.9999
1933,96700,-249.9959
1935,96800,-249.9998
1937,96900,-249.7427
1939,97000,-249.9994
1941,97100,-249.7734
1943,97200,-249.7732
1945,97300,-247.9806
1947,97400,-237.5174
1949,97500,-249.379
1951,97600,-248.3115
1953,97700,-249.9125
1955,97800,-250.0
1957,97900,-249.9999
1959,98000,-249.9872
1961,98100,-249.9959
1963,98200,-249.7733
1965,98300,-240.0745
1967,98400,-245.2891
1969,98500,-249.9994
1971,98600,-249.9999
1973,98700,-249.9887
1975,98800,-248.3126
1977,98900,-250.0
1979,99000,-249.7735
1981,99100,-249.9985
1983,99200,-249.9887
1985,99300,-249.9152
1987,99400,-249.383
1989,99500,-247.7307
1991,99600,-240.4158
1993,99700,-249.9998
1995,99800,-238.9976
1997,99900,-249.9989
1999,100000,-249.9953
